date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted,GDP_dollar,GDP_local
1/1/2022,GBR,GBP,Britain,3.59,0.745350874,4.8165235,-0.04434,-0.02791,0,0.42304,0.25651,48169.3311,4.221878524,0.05637,-0.06205,0,0.47735,0.05718,47202.581,34311.091
1/1/2022,GTM,GTQ,Guatemala,26,7.6898,3.381102239,-0.32915,-0.31761,-0.29802,-0.00106,-0.11795,7008.071538,3.352408433,-0.06613,-0.17081,-0.11596,0.30604,-0.06541,4673.632,36152.75
1/1/2022,HKG,HKD,Hong Kong,22,7.79755,2.821399029,-0.4402,-0.43057,-0.41423,-0.16642,-0.26397,88553.59609,5.074935766,-0.48522,-0.54293,-0.51269,-0.28007,-0.48483,49727.395,386543.475
1/1/2022,HND,HNL,Honduras,89,24.61415,3.615806355,-0.28258,-0.27024,-0.24929,0.06829,-0.05673,3853.837189,3.285779947,0.01895,-0.09527,-0.03542,0.42503,0.01974,2789.583,68053.871
1/1/2022,HRV,HRK,Croatia,23.67,6.715,3.524944155,-0.30061,-0.28858,-0.26816,0.04144,-0.08043,22775.36566,3.685468957,-0.11438,-0.21366,-0.16164,0.23856,-0.1137,16817.843,106962.878
1/1/2022,HUN,HUF,Hungary,982,317.51115,3.092804772,-0.38635,-0.3758,-0.35788,-0.08623,-0.19316,29033.37144,3.817659976,-0.24986,-0.33395,-0.28989,0.04909,-0.24928,18968.393,5656898.959
1/1/2022,IDN,IDR,Indonesia,34000,14382,2.364066194,-0.53094,-0.52288,-0.50918,-0.30154,-0.38327,9240.344496,3.399561863,-0.35609,-0.42827,-0.39045,-0.09948,-0.3556,4356.56,62335657.31
1/1/2022,IND,INR,India,190,74.6225,2.54614895,-0.49481,-0.48613,-0.47137,-0.24774,-0.33577,4505.601373,3.299547491,-0.28548,-0.36557,-0.3236,-0.00072,-0.28493,2282.97,169854.02
1/1/2022,ISR,ILS,Israel,17,3.17775,5.349697113,0.06145,0.0797,0.1107,0.58056,0.3956,49239.00606,4.244473809,0.16706,0.03624,0.10478,0.63216,0.16795,51416.022,166083.949
1/1/2022,JOR,JOD,Jordan,2.12,0.709,2.990126939,-0.40672,-0.39652,-0.37919,-0.11657,-0.21995,7444.427094,3.361625792,-0.17638,-0.2687,-0.22033,0.15185,-0.17575,4416.632,3131.386
1/1/2022,JPN,JPY,Japan,390,115.225,3.384682144,-0.32844,-0.31689,-0.29728,0,-0.11702,55798.19078,4.383026783,-0.28496,-0.36511,-0.32311,0,-0.28441,39339.836,4317717.144
1/1/2022,KOR,KRW,South Korea,4600,1205.5,3.815844048,-0.24289,-0.22987,-0.20776,0.12739,-0.00454,43618.74594,4.125754214,-0.1436,-0.2396,-0.1893,0.19769,-0.14295,34801.086,39810760.18
1/1/2022,KWT,KWD,Kuwait,1.25,0.3029,4.126774513,-0.1812,-0.16712,-0.1432,0.21925,0.07657,34983.68832,3.943351527,-0.03098,-0.1396,-0.08269,0.35519,-0.03024,28578.756,8676.51
1/1/2022,LKA,LKR,Sri Lanka,840,202.41,4.149992589,-0.17659,-0.16243,-0.13838,0.22611,0.08263,4463.465124,3.298657426,0.16492,0.03434,0.10276,0.62917,0.16582,3742.678,743910.854
1/1/2022,MDA,MDL,Moldova,52,18,2.888888889,-0.42681,-0.41695,-0.40021,-0.14648,-0.24636,9061.584258,3.395785821,-0.21227,-0.30057,-0.2543,0.10166,-0.21166,5284.908,93492.536
